nome,posicao,idade,nacionalidade,valor de mercado,clube,altura,pe dominante,contrato,clube anterior,partidas,gols,assistencias,cartoes amarelos,minutos jogados
Wendell,Left-Back,31,Brazil,4500000,São Paulo Futebol Clube,176,left,,FC Porto,11,0,0,1,391
Enzo Díaz,Left-Back,29,Argentina,2500000,São Paulo Futebol Clube,167,left,2025-12-31,CA River Plate,0,0,0,0,0
Patryck,Left-Back,22,Brazil,1800000,São Paulo Futebol Clube,184,left,2027-06-30,São Paulo FC U20,19,0,0,3,1016
Igor Vinícius,Right-Back,27,Brazil,2500000,São Paulo Futebol Clube,174,right,2025-12-31,Ituano Futebol Clube (SP),120,2,8,23,6
Cédric Soares,Right-Back,33,Portugal,1200000,São Paulo Futebol Clube,171,right,2025-04-30,Without Club,0,0,0,0,0
Luis Orejuela,Right-Back,29,Colombia,500000,São Paulo Futebol Clube,180,right,2025-03-31,Cruzeiro Esporte Clube,65,4,1,5,361
Pablo Maia,Defensive Midfield,23,Brazil,12000000,São Paulo Futebol Clube,178,right,2027-12-31,São Paulo FC U20,67,4,0,14,265
Santiago Longo,Defensive Midfield,26,Argentina,3000000,São Paulo Futebol Clube,177,right,2025-08-29,Club Atlético Belgrano,3,0,0,0,170
Luan Santos,Defensive Midfield,25,Brazil,2000000,São Paulo Futebol Clube,175,right,2026-12-31,São Paulo FC U20,119,1,2,20,1195
Luiz Gustavo,Defensive Midfield,37,Brazil,300000,São Paulo Futebol Clube,187,left,2025-12-31,Without Club,28,2,1,3,2
Marcos Antônio,Central Midfield,24,Brazil,3500000,São Paulo Futebol Clube,166,right,2025-06-30,SS Lazio,13,0,0,1,850
Rodriguinho,Central Midfield,20,Brazil,3000000,São Paulo Futebol Clube,185,right,2026-12-31,São Paulo FC U20,18,0,0,3,360
Damián Bobadilla,Central Midfield,23,Paraguay,2500000,São Paulo Futebol Clube,181,right,2027-12-31,Club Cerro Porteño,18,1,0,3,1
Alisson,Central Midfield,31,Brazil,2000000,São Paulo Futebol Clube,174,right,2027-12-31,Grêmio Foot-Ball Porto Alegrense,263,25,39,35,2342
Liziero,Central Midfield,26,Brazil,1500000,São Paulo Futebol Clube,177,left,2025-06-30,São Paulo FC U20,118,3,3,19,1785
Oscar,Attacking Midfield,33,Brazil,4000000,São Paulo Futebol Clube,180,right,2027-12-31,Shanghai Port,47,11,11,3,807
Matheus Alves,Attacking Midfield,19,Brazil,,São Paulo Futebol Clube,178,,2026-01-01,São Paulo FC U20,0,0,0,0,0
Ferreirinha,Left Winger,27,Brazil,6000000,São Paulo Futebol Clube,176,right,2027-12-31,Grêmio Foot-Ball Porto Alegrense,106,15,13,11,923
Lucas Ferreira,Left Winger,18,Brazil,,São Paulo Futebol Clube,187,left,2028-07-31,São Paulo FC U20,0,0,0,0,0
Lucas Moura,Right Winger,32,Brazil,5000000,São Paulo Futebol Clube,172,right,2026-12-31,: Ablöse free transfer,116,30,21,18,880
Erick,Right Winger,27,Brazil,1200000,São Paulo Futebol Clube,173,left,2026-12-31,Ceará Sporting Club,78,5,4,13,1334
Henrique Carmo,Right Winger,18,Brazil,200000,São Paulo Futebol Clube,174,left,2028-12-31,São Paulo FC U17,1,0,0,0,12
Luciano,Second Striker,31,Brazil,2500000,São Paulo Futebol Clube,181,left,2026-12-31,Grêmio Foot-Ball Porto Alegrense,252,76,17,50,1955
André Silva,Centre-Forward,27,Brazil,3500000,São Paulo Futebol Clube,181,left,2027-12-31,Vitória Guimarães SC,30,7,2,3,1
Jonathan Calleri,Centre-Forward,31,Argentina,3000000,São Paulo Futebol Clube,181,right,2026-12-31,Club Deportivo Maldonado,103,40,8,22,1223
Ryan Francisco,Centre-Forward,18,Brazil,,São Paulo Futebol Clube,175,left,2028-11-30,São Paulo FC U20,1,0,0,0,1
Pedro Henrique,Centre-Back,29,Brazil,3000000,Red Bull Bragantino,188,right,2026-12-31,Club Athletico Paranaense,188,4,2,24,1137
Guzmán Rodríguez,Centre-Back,24,Uruguay,2500000,Red Bull Bragantino,185,right,2029-12-31,CA Peñarol,0,0,0,0,0
Douglas Mendes,Centre-Back,20,Brazil,2000000,Red Bull Bragantino,189,right,2025-12-31,Red Bull Salzburg,21,2,0,2,70
Lucas Cunha,Centre-Back,28,Brazil,1800000,Red Bull Bragantino,186,right,2026-12-31,Gil Vicente FC,12,0,0,2,850
Eduardo,Centre-Back,27,Brazil,900000,Red Bull Bragantino,196,right,2028-12-29,SK Slavia Prague,35,2,0,7,2
Sergio Palacios,Centre-Back,19,Colombia,900000,Red Bull Bragantino,195,right,2026-09-02,Once Caldas,1,0,0,1,29
Luan Cândido,Left-Back,24,Brazil,6000000,Red Bull Bragantino,187,left,2026-12-31,RB Leipzig,109,17,3,16,608
Juninho Capixaba,Left-Back,27,Brazil,3000000,Red Bull Bragantino,176,left,2027-12-31,Grêmio Foot-Ball Porto Alegrense,187,10,16,47,505
Guilherme Lopes,Left-Back,22,Brazil,500000,Red Bull Bragantino,178,left,2025-12-31,RB Bragantino B,29,0,1,1,1148
José Andrés Hurtado,Right-Back,23,Ecuador,1800000,Red Bull Bragantino,178,right,2027-12-31,: Ablöse €3.10m,58,0,4,6,592
Nathan Mendes,Right-Back,22,Brazil,1000000,Red Bull Bragantino,182,right,2028-12-31,São Paulo Futebol Clube,47,1,2,12,450
Jadsom,Defensive Midfield,23,Brazil,4000000,Red Bull Bragantino,176,right,2025-12-31,Cruzeiro Esporte Clube,117,2,3,40,34
Matheus Fernandes,Defensive Midfield,26,Brazil,2000000,Red Bull Bragantino,183,right,2027-12-31,Sociedade Esportiva Palmeiras,144,4,6,34,2795
Gabriel,Defensive Midfield,32,Brazil,1500000,Red Bull Bragantino,171,right,2025-12-31,Sport Club Internacional,303,10,9,63,1241
Eric Ramires,Central Midfield,24,Brazil,3500000,Red Bull Bragantino,172,right,2026-12-31,Esporte Clube Bahia,146,10,9,11,1379
Praxedes,Central Midfield,22,Brazil,3000000,Red Bull Bragantino,186,left,2026-06-30,Sport Club Internacional,94,6,7,16,1200
Lucas Evangelista,Central Midfield,29,Brazil,3000000,Red Bull Bragantino,181,left,2026-06-30,FC Nantes,152,10,14,23,850
Gustavo Neves,Central Midfield,20,Brazil,2500000,Red Bull Bragantino,176,right,2027-12-31,RB Bragantino U20,46,2,3,3,1597
João Neto,Central Midfield,21,Brazil,,Red Bull Bragantino,186,right,2028-08-31,FC Famalicão U23,0,0,0,0,0
Jhon Jhon,Attacking Midfield,22,Brazil,4500000,Red Bull Bragantino,178,right,2029-06-30,Sociedade Esportiva Palmeiras,42,3,5,8,1055
Henry Mosquera,Left Winger,23,Colombia,2000000,Red Bull Bragantino,175,right,2025-03-31,Envigado FC,55,3,4,5,2
Vinicinho,Left Winger,20,Brazil,700000,Red Bull Bragantino,174,right,2029-03-31,Desportivo Brasil Ltda (SP) U20,19,2,0,3,712
Lucas Barbosa,Right Winger,23,Brazil,3000000,Red Bull Bragantino,194,left,2026-07-31,Santos FC,68,9,3,14,958
Ignacio Laquintana,Right Winger,26,Uruguay,800000,Red Bull Bragantino,173,right,2027-12-31,CA Peñarol,13,1,0,0,453
Kawê,Right Winger,22,Brazil,300000,Red Bull Bragantino,175,right,2027-06-30,América Futebol Clube (MG),3,0,0,0,33
Thiago Borbas,Centre-Forward,22,Uruguay,6000000,Red Bull Bragantino,186,right,2027-12-31,CA River Plate Montevideo,54,11,2,11,955
Isidro Pitta,Centre-Forward,25,Paraguay,5500000,Red Bull Bragantino,183,right,2028-12-31,Cuiabá Esporte Clube (MT),96,17,5,7,813
Alerrandro,Centre-Forward,25,Brazil,4000000,Red Bull Bragantino,180,right,2026-12-31,Clube Atlético Mineiro,126,33,10,11,3778
Fernando,Centre-Forward,25,Brazil,3000000,Red Bull Bragantino,176,right,2027-12-31,Red Bull Salzburg,1,0,0,0,45
Eduardo Sasha,Centre-Forward,32,Brazil,1800000,Red Bull Bragantino,173,right,2026-12-31,Clube Atlético Mineiro,282,63,23,29,3282
Arthur Sousa,Centre-Forward,21,Brazil,800000,Red Bull Bragantino,184,right,2028-12-31,SC Corinthians B,10,0,0,1,170
João Victor,Centre-Back,26,Brazil,5000000,Clube de Regatas Vasco da Gama,187,right,2028-12-31,SL Benfica,93,1,2,20,486
Mauricio Lemos,Centre-Back,29,Uruguay,2500000,Clube de Regatas Vasco da Gama,187,right,2025-12-31,Clube Atlético Mineiro,35,1,0,13,383
Lucas Oliveira,Centre-Back,29,Brazil,1700000,Clube de Regatas Vasco da Gama,187,right,2026-12-31,Cruzeiro Esporte Clube,54,4,0,8,3
Manuel Capasso,Centre-Back,28,Argentina,1000000,Clube de Regatas Vasco da Gama,188,right,2025-12-31,Club Atlético Tucumán,9,0,0,4,554
Lucas Freitas,Centre-Back,24,Brazil,450000,Clube de Regatas Vasco da Gama,184,left,2027-12-31,Sociedade Esportiva Palmeiras,19,0,0,1,180
Souza,Centre-Back,35,Brazil,250000,Clube de Regatas Vasco da Gama,188,right,2025-12-31,Basaksehir FK,123,7,12,17,1694
Lucas Piton,Left-Back,24,Italy,8000000,Clube de Regatas Vasco da Gama,175,left,2028-12-31,Sport Club Corinthians Paulista,125,2,17,14,586
Riquelme,Left-Back,22,Brazil,1200000,Clube de Regatas Vasco da Gama,173,left,2025-12-31,CR Vasco da Gama U20,0,0,0,0,0
Victor Luís,Left-Back,31,Brazil,450000,Clube de Regatas Vasco da Gama,177,left,,Coritiba Foot Ball Club,207,8,11,28,1751
José Luis Rodríguez,Right-Back,27,Uruguay,2000000,Clube de Regatas Vasco da Gama,183,right,2025-12-31,Club Nacional,54,3,3,3,2
Paulo Henrique,Right-Back,28,Brazil,1700000,Clube de Regatas Vasco da Gama,175,right,2027-12-31,Clube Atlético Mineiro,92,4,4,14,1624
Juan Sforza,Defensive Midfield,22,Argentina,4000000,Clube de Regatas Vasco da Gama,179,left,2028-12-31,CA Newell's Old Boys,26,1,0,3,1
Jair,Defensive Midfield,30,Brazil,2500000,Clube de Regatas Vasco da Gama,178,right,2025-12-31,Clube Atlético Mineiro,152,14,7,38,1256
Patrick de Lucca,Defensive Midfield,24,Brazil,1600000,Clube de Regatas Vasco da Gama,180,right,2025-12-31,Esporte Clube Bahia,38,1,1,7,250
Hugo Moura,Defensive Midfield,27,Brazil,1500000,Clube de Regatas Vasco da Gama,177,right,2026-12-31,Club Athletico Paranaense,119,3,8,25,198
Zé Gabriel,Defensive Midfield,26,Brazil,1200000,Clube de Regatas Vasco da Gama,184,right,2025-12-31,Sport Club Internacional,73,1,0,11,895
Mateus Carvalho,Defensive Midfield,22,Brazil,1200000,Clube de Regatas Vasco da Gama,184,left,2027-12-31,Clube Náutico Capibaribe,41,2,2,12,346
Tchê Tchê,Central Midfield,32,Brazil,1500000,Clube de Regatas Vasco da Gama,175,both,2026-12-31,Botafogo de Futebol e Regatas,267,11,11,39,36
Maxime Dominguez,Central Midfield,29,Switzerland,1200000,Clube de Regatas Vasco da Gama,173,left,2028-06-30,Gil Vicente FC,8,1,0,2,236
Paulinho Paula,Central Midfield,28,Brazil,1000000,Clube de Regatas Vasco da Gama,173,right,2025-12-31,Al-Shabab FC,23,1,2,6,26
JP,Central Midfield,19,Brazil,600000,Clube de Regatas Vasco da Gama,176,both,2027-12-31,CR Vasco da Gama U20,10,0,1,0,429
Philippe Coutinho,Attacking Midfield,32,Brazil,6000000,Clube de Regatas Vasco da Gama,172,right,2025-06-30,Aston Villa,22,3,3,0,1260
Dimitri Payet,Attacking Midfield,37,France,1000000,Clube de Regatas Vasco da Gama,175,right,2025-06-30,Olympique Marseille,40,5,4,2,799
Guilherme Estrella,Attacking Midfield,19,Brazil,1000000,Clube de Regatas Vasco da Gama,176,right,2026-12-31,CR Vasco da Gama U20,3,1,0,1,149
Jean Meneses,Left Winger,31,Chile,2500000,Clube de Regatas Vasco da Gama,163,right,2026-06-30,Deportivo Toluca,6,0,0,0,291
David,Left Winger,29,Brazil,2000000,Clube de Regatas Vasco da Gama,179,right,2027-12-31,Sport Club Internacional,237,27,23,32,2144
Rayan,Right Winger,18,Brazil,10000000,Clube de Regatas Vasco da Gama,185,left,2025-12-31,CR Vasco da Gama U20,30,2,0,4,1111
Adson,Right Winger,24,Brazil,4000000,Clube de Regatas Vasco da Gama,171,left,2027-12-31,FC Nantes,76,8,3,4,1414
Alex Teixeira,Second Striker,35,Brazil,300000,Clube de Regatas Vasco da Gama,173,right,2025-12-31,Without Club,58,7,8,4,238
GB,Centre-Forward,20,Brazil,800000,Clube de Regatas Vasco da Gama,190,right,2028-12-31,,2,1,0,1,91
Pablo Vegetti,Centre-Forward,36,Argentina,750000,Clube de Regatas Vasco da Gama,187,right,2025-12-31,Club Atlético Belgrano,56,22,3,9,3
Jair Cunha,Centre-Back,19,Brazil,5000000,Santos FC,198,both,2026-12-31,Santos FC U20,2,0,0,0,30
Zé Ivaldo,Centre-Back,27,Brazil,4000000,Santos FC,185,right,2025-12-31,Cruzeiro Esporte Clube,112,3,0,26,1117
Basso,Centre-Back,28,Brazil,1500000,Santos FC,187,right,2026-12-31,FC Arouca,14,0,0,1,1
Luan Peres,Centre-Back,30,Brazil,1300000,Santos FC,190,left,2027-12-31,Fenerbahce,84,0,2,16,1936
Luisão,Centre-Back,21,Brazil,500000,Santos FC,192,right,2028-12-31,Grêmio Novorizontino,0,0,0,0,0
Gil,Centre-Back,37,Brazil,250000,Santos FC,192,right,2025-12-31,Sport Club Corinthians Paulista,321,12,9,68,24
Souza,Left-Back,18,Brazil,2000000,Santos FC,183,left,2028-12-31,Santos FC U20,0,0,0,0,0
Kevyson,Left-Back,20,Brazil,800000,Santos FC,174,left,2026-12-31,Santos FC U20,17,0,0,1,972
Gonzalo Escobar,Left-Back,27,Argentina,600000,Santos FC,171,left,2025-12-31,Fortaleza Esporte Clube,13,0,1,4,573
Leonardo Godoy,Right-Back,29,Argentina,3500000,Santos FC,173,right,2027-12-31,Club Athletico Paranaense,26,1,2,5,1
JP Chermont,Right-Back,19,Brazil,1500000,Santos FC,181,right,,Santos FC U20,0,0,0,0,0
Hayner,Right-Back,29,Brazil,650000,Santos FC,178,right,,Azuriz FC,51,0,3,13,305
Aderlan,Right-Back,34,Brazil,400000,Santos FC,180,right,2026-06-30,Red Bull Bragantino,139,3,12,35,8
Sandry,Defensive Midfield,22,Brazil,1800000,Santos FC,174,right,2025-12-31,Santos FC U20,50,0,1,9,987
João Schmidt,Defensive Midfield,31,Brazil,1000000,Santos FC,183,left,2026-12-31,Kawasaki Frontale,36,1,2,3,505
Tomás Rincón,Defensive Midfield,37,Venezuela,250000,Santos FC,175,right,2027-12-31,UC Sampdoria,16,2,1,5,1
Diego Pituca,Central Midfield,32,Brazil,1600000,Santos FC,178,left,2026-12-31,Kashima Antlers,96,4,7,17,6
Patrick,Central Midfield,32,Brazil,1500000,Santos FC,176,left,2025-12-31,Clube Atlético Mineiro,244,24,17,37,555
Hyan,Central Midfield,20,Brazil,100000,Santos FC,184,right,2028-12-31,Santos FC U20,0,0,0,0,0
Thaciano,Attacking Midfield,29,Brazil,2000000,Santos FC,182,right,2027-06-30,Esporte Clube Bahia,145,20,12,20,2347
Miguelito,Attacking Midfield,20,Bolivia,750000,Santos FC,177,left,2025-06-30,Santos FC U20,4,0,0,0,55
Neymar,Left Winger,33,Brazil,15000000,Santos FC,175,right,2027-06-30,Al-Hilal SFC,103,54,27,30,95
Yeferson Soteldo,Left Winger,27,Venezuela,7000000,Santos FC,160,right,2026-12-31,Tigres UANL,109,19,20,23,573
Guilherme,Left Winger,29,Brazil,1500000,Santos FC,178,left,2026-04-30,Grêmio Foot-Ball Porto Alegrense,89,8,4,5,762
Lucas Braga,Left Winger,28,Brazil,1200000,Santos FC,184,right,2025-12-31,Luverdense EC,122,8,6,13,7
Gabriel Veron,Right Winger,22,Brazil,7000000,Santos FC,176,right,,FC Porto,76,14,9,6,1981
Willian Bigode,Second Striker,38,Brazil,200000,Santos FC,171,right,2027-12-31,Fluminense Football Club,352,70,46,33,3157
Tiquinho Soares,Centre-Forward,34,Brazil,2000000,Santos FC,187,right,2026-12-31,Botafogo de Futebol e Regatas,75,28,9,15,4
Julio Furch,Centre-Forward,35,Argentina,500000,Santos FC,188,right,2025-11-30,Atlas Guadalajara,22,3,0,2,599
Ignácio,Centre-Back,28,Brazil,1200000,Fluminense Football Club,190,right,2028-06-30,Club Sporting Cristal,29,2,1,5,222
Felipe Andrade,Centre-Back,22,Brazil,1000000,Fluminense Football Club,182,right,2025-12-31,Fluminense FC U20,13,0,0,0,357
Juan Pablo Freytes,Centre-Back,25,Argentina,900000,Fluminense Football Club,182,left,2028-12-31,Club Alianza Lima,0,0,0,0,0
Thiago Silva,Centre-Back,40,Brazil,800000,Fluminense Football Club,181,right,2026-06-30,Chelsea FC,124,9,4,21,8
Manoel,Centre-Back,34,Brazil,200000,Fluminense Football Club,181,right,2025-12-31,Cruzeiro Esporte Clube,308,19,5,47,1691
Thiago Santos,Centre-Back,35,Brazil,200000,Fluminense Football Club,181,right,2025-12-31,Grêmio Foot-Ball Porto Alegrense,174,7,2,53,802
Gabriel Fuentes,Left-Back,27,Colombia,1500000,Fluminense Football Club,180,left,2028-08-31,Junior FC,6,0,0,1,212
Renê,Left-Back,32,Brazil,800000,Fluminense Football Club,174,left,2026-12-31,Sport Club Internacional,285,6,21,43,2346
Guga,Right-Back,26,Brazil,2000000,Fluminense Football Club,173,right,2026-12-31,Clube Atlético Mineiro,129,2,11,12,325
Samuel Xavier,Right-Back,34,Brazil,350000,Fluminense Football Club,166,right,2025-12-31,Ceará Sporting Club,295,6,23,68,20
Facundo Bernal,Defensive Midfield,21,Uruguay,1500000,Fluminense Football Club,187,right,2028-07-31,Defensor Sporting Club,15,0,0,6,948
Wallace Davi,Defensive Midfield,17,Brazil,,Fluminense Football Club,185,,2027-04-30,Fluminense FC U17,0,0,0,0,0
Martinelli,Central Midfield,23,Brazil,9000000,Fluminense Football Club,176,right,2026-12-31,Fluminense FC U20,134,7,6,18,970
Hércules,Central Midfield,24,Brazil,6000000,Fluminense Football Club,178,right,2029-12-31,Fortaleza Esporte Clube,73,9,2,6,781
Nonato,Central Midfield,26,Brazil,1200000,Fluminense Football Club,175,right,2025-06-30,Santos FC,97,5,5,16,2116
Renato Augusto,Central Midfield,36,Brazil,700000,Fluminense Football Club,186,right,2025-12-31,Sport Club Corinthians Paulista,217,18,30,11,1742
Victor Hugo,Central Midfield,20,Brazil,200000,Fluminense Football Club,182,right,2025-06-30,FC Cascavel (PR),5,0,0,1,103
Gustavo Apis,Central Midfield,25,Brazil,,Fluminense Football Club,176,left,,Nova Iguaçu FC (RJ),5,0,0,0,67
Lima,Attacking Midfield,28,Brazil,2500000,Fluminense Football Club,181,right,2025-12-31,Ceará Sporting Club,186,23,11,23,414
Ganso,Attacking Midfield,35,Brazil,500000,Fluminense Football Club,184,left,2025-12-31,Sevilla FC,317,34,58,68,3187
Isaque,Attacking Midfield,17,Brazil,,Fluminense Football Club,172,right,2028-03-01,Fluminense FC U20,1,0,0,0,1
Agustín Canobbio,Left Winger,26,Uruguay,4500000,Fluminense Football Club,175,right,2028-12-31,Club Athletico Paranaense,74,9,6,16,4
Joaquín Lavega,Left Winger,20,Uruguay,2800000,Fluminense Football Club,172,left,2029-12-31,CA River Plate Montevideo,0,0,0,0,0
Keno,Left Winger,35,Brazil,600000,Fluminense Football Club,174,right,2025-12-31,Clube Atlético Mineiro,223,41,32,27,1028
Paulo Baya,Left Winger,25,Brazil,550000,Fluminense Football Club,184,right,2025-12-31,EC Primavera,0,0,0,0,0
Jhon Arias,Right Winger,27,Colombia,16000000,Fluminense Football Club,168,right,2028-06-30,Independiente Santa Fe,108,22,20,18,907
Kevin Serna,Right Winger,27,Colombia,1200000,Fluminense Football Club,182,right,2027-12-31,Club Alianza Lima,16,3,2,1,876
Riquelme,Right Winger,17,Brazil,,Fluminense Football Club,,left,,Fluminense FC U20,0,0,0,0,0
Kauã Elias,Centre-Forward,18,Brazil,9000000,Fluminense Football Club,181,right,2029-12-31,Fluminense FC U20,30,6,2,4,1
Lelê,Centre-Forward,27,Brazil,1200000,Fluminense Football Club,189,right,2028-12-31,Itaboraí Profute FC (RJ),29,2,2,3,1
Germán Cano,Centre-Forward,37,Argentina,1000000,Fluminense Football Club,176,right,2025-12-31,Clube de Regatas Vasco da Gama,129,54,5,16,8
Gastón Ávila,Centre-Back,23,Argentina,4000000,Fortaleza Esporte Clube,182,left,2025-12-31,Ajax Amsterdam,0,0,0,0,0
Benjamín Kuscevic,Centre-Back,28,Chile,2000000,Fortaleza Esporte Clube,186,right,2028-12-31,Coritiba Foot Ball Club,72,4,2,17,1969
Tomás Cardona,Centre-Back,29,Argentina,1800000,Fortaleza Esporte Clube,185,left,2026-12-31,Defensa y Justicia,17,1,0,4,1
Marcelo Benevenuto,Centre-Back,29,Brazil,1700000,Fortaleza Esporte Clube,181,right,2026-12-31,Botafogo de Futebol e Regatas,148,7,3,29,1686
Tobias Figueiredo,Centre-Back,31,Portugal,1500000,Fortaleza Esporte Clube,188,right,2026-12-31,Hull City,29,1,0,6,346
Emanuel Brítez,Centre-Back,32,Argentina,1000000,Fortaleza Esporte Clube,178,right,2025-12-31,Defensa y Justicia,81,1,6,20,5
David Luiz,Centre-Back,37,Brazil,300000,Fortaleza Esporte Clube,189,right,2026-12-31,CR Flamengo,64,4,1,10,1515
Titi,Centre-Back,36,Brazil,200000,Fortaleza Esporte Clube,188,left,2025-12-31,Göztepe,268,6,4,76,888
Felipe Jonatan,Left-Back,26,Brazil,2500000,Fortaleza Esporte Clube,176,left,2027-04-30,Santos FC,155,4,2,15,99
Bruno Pacheco,Left-Back,33,Brazil,400000,Fortaleza Esporte Clube,175,left,2026-12-31,Ceará Sporting Club,234,4,18,44,15
Diogo Barbosa,Left-Back,32,Brazil,350000,Fortaleza Esporte Clube,179,left,2026-12-31,Fluminense Football Club,257,5,16,44,1946
Eros Mancuso,Right-Back,25,Argentina,4000000,Fortaleza Esporte Clube,171,right,2028-08-10,Club Estudiantes de La Plata,12,1,2,3,930
Tinga,Right-Back,31,Brazil,1200000,Fortaleza Esporte Clube,179,right,2026-04-30,Esporte Clube Bahia,164,8,10,11,10
Zé Welison,Defensive Midfield,29,Brazil,2000000,Fortaleza Esporte Clube,177,right,2026-12-31,Clube Atlético Mineiro,202,7,6,42,2622
Lucas Sasha,Defensive Midfield,34,Brazil,300000,Fortaleza Esporte Clube,177,both,2025-12-31,Aris Thessaloniki,72,1,2,10,932
Pedro Augusto,Central Midfield,27,Brazil,1800000,Fortaleza Esporte Clube,181,right,2026-12-31,CD Tondela,41,0,1,10,562
Matheus Rossetto,Central Midfield,28,Brazil,1500000,Fortaleza Esporte Clube,180,right,2027-12-31,Atlanta United FC,93,5,2,12,1401
Pol Fernández,Central Midfield,33,Argentina,1300000,Fortaleza Esporte Clube,176,right,2026-12-31,CA Boca Juniors,0,0,0,0,0
Kauan,Central Midfield,19,Brazil,1000000,Fortaleza Esporte Clube,174,right,2028-06-30,Fortaleza EC U20,4,0,0,0,62
Tomás Pochettino,Attacking Midfield,29,Argentina,6000000,Fortaleza Esporte Clube,180,right,2025-12-31,Austin FC,67,7,9,6,3
Calebe,Attacking Midfield,24,Brazil,2000000,Fortaleza Esporte Clube,173,left,2026-12-31,Clube Atlético Mineiro,74,2,8,4,1030
Emmanuel Martínez,Attacking Midfield,30,Argentina,1500000,Fortaleza Esporte Clube,169,right,2027-06-30,América Futebol Clube (MG),59,2,9,9,266
Kervin Andrade,Attacking Midfield,19,Venezuela,1500000,Fortaleza Esporte Clube,163,right,2028-12-31,Deportivo La Guaira,13,1,1,2,480
Edinho,Attacking Midfield,30,Brazil,550000,Fortaleza Esporte Clube,158,right,,Clube Atlético Mineiro,58,3,2,1,637
Moisés,Left Winger,28,Brazil,2500000,Fortaleza Esporte Clube,177,right,2027-12-31,CD Cruz Azul,69,17,5,1,374
Breno Lopes,Left Winger,29,Brazil,2500000,Fortaleza Esporte Clube,178,right,2028-12-31,Sociedade Esportiva Palmeiras,126,20,7,13,2029
Dylan Borrero,Left Winger,23,Colombia,2500000,Fortaleza Esporte Clube,179,right,2028-12-31,New England Revolution,21,2,1,4,639
Yago Pikachu,Right Winger,32,Brazil,1000000,Fortaleza Esporte Clube,172,right,2025-12-31,Shimizu S-Pulse,243,41,19,39,12
Marinho,Right Winger,34,Brazil,500000,Fortaleza Esporte Clube,169,left,2025-12-31,CR Flamengo,214,55,30,58,1572
Bruno Branco,Right Winger,19,Brazil,,Fortaleza Esporte Clube,165,left,2025-12-31,Académico de Viseu Sub-23,0,0,0,0,0
Juan Martín Lucero,Centre-Forward,33,Argentina,1500000,Fortaleza Esporte Clube,182,right,2027-12-31,CSD Colo-Colo,63,17,3,10,4
Renato Kayzer,Centre-Forward,28,Brazil,1000000,Fortaleza Esporte Clube,176,right,2025-12-31,Club Athletico Paranaense,114,24,6,10,1128
Igor Torres,Centre-Forward,24,Brazil,800000,Fortaleza Esporte Clube,182,both,2025-12-31,Clube Atlético Taboão da Serra (SP),27,4,0,2,502
Thiago Galhardo,Centre-Forward,35,Brazil,500000,Fortaleza Esporte Clube,183,right,2025-12-31,Sport Club Internacional,203,46,15,41,737
Wagner Leonardo,Centre-Back,25,Brazil,2000000,Esporte Clube Vitória,186,left,2028-12-31,Portimonense SC,64,6,0,8,499
Zé Marcos,Centre-Back,27,Brazil,900000,Esporte Clube Vitória,188,left,2027-12-31,Esporte Clube Juventude,28,0,0,8,210
Neris,Centre-Back,32,Brazil,500000,Esporte Clube Vitória,192,right,2026-12-31,Cruzeiro Esporte Clube,75,1,1,22,763
Edu Ribeiro,Centre-Back,24,Brazil,500000,Esporte Clube Vitória,185,right,2025-12-31,Goiás EC,21,0,0,3,1173
Camutanga,Centre-Back,31,Brazil,450000,Esporte Clube Vitória,189,right,2025-12-31,Atlético Clube Goianiense,6,0,0,1,522
Bruno Uvini,Centre-Back,33,Brazil,300000,Esporte Clube Vitória,187,left,2025-12-31,Grêmio Foot-Ball Porto Alegrense,45,3,0,7,1523
Hugo,Left-Back,23,Brazil,4000000,Esporte Clube Vitória,175,left,2025-12-31,Botafogo de Futebol e Regatas,54,1,3,7,891
Lucas Esteves,Left-Back,24,Brazil,1800000,Esporte Clube Vitória,171,left,2025-12-31,Sociedade Esportiva Palmeiras,45,1,4,13,625
Felipe Vieira,Left-Back,25,Brazil,250000,Esporte Clube Vitória,176,left,2026-12-31,Londrina Esporte Clube (PR),0,0,0,0,0
Claudinho,Right-Back,24,Brazil,2000000,Esporte Clube Vitória,180,right,2027-12-31,Criciúma Esporte Clube,34,2,3,3,2
Raúl Cáceres,Right-Back,33,Paraguay,250000,Esporte Clube Vitória,180,right,2025-12-31,Club Guaraní,56,1,5,4,484
Caio Vinicius,Defensive Midfield,26,Brazil,1500000,Esporte Clube Vitória,187,right,2025-04-30,Fluminense Football Club,41,0,0,13,647
Baralhas,Defensive Midfield,26,Brazil,1200000,Esporte Clube Vitória,178,right,2025-12-31,Atlético Clube Goianiense,103,9,5,24,396
Willian Oliveira,Defensive Midfield,31,Brazil,800000,Esporte Clube Vitória,179,right,2025-12-31,Goiás EC,86,5,1,16,983
Ricardo Ryller,Defensive Midfield,30,Brazil,650000,Esporte Clube Vitória,184,right,2025-12-31,Al-Fayha FC,49,2,2,9,12
Ronald,Defensive Midfield,27,Brazil,500000,Esporte Clube Vitória,171,right,2025-12-31,Fortaleza Esporte Clube,122,3,4,17,576
Val Soares,Defensive Midfield,27,Brazil,225000,Esporte Clube Vitória,176,right,2025-12-31,CS Marítimo,13,0,1,6,617
Jean Mota,Central Midfield,31,Brazil,1000000,Esporte Clube Vitória,172,left,2026-12-31,Inter Miami CF,181,9,12,24,864
